title,author,year,url,text
Дарога...,Якуб Колас,1916,https://knihi.com/Jakub_Kolas/Daroha_ad_kurhana.html,"Ад кургана да кургана,


Ад гаю да гаю


У пяць нітак легла цьмяна


Дарога крывая.


 


То лясок, то луг, то поле,


То лужок зялёны...


Эх, прастор!  Эх, воля, воля


І балот разгоны!


 


І куды бяжыш, дарога,


Тканка ног і кола?


Ды маўчыць пуцінка строга,


Не гавораць долы.


 


 


Ну што ж? Далей, гайда далей,


За узгоркі тыя!


Не стрымацца нам:  мы — хвалі


Ціхія рачныя."
Чуваць вясна,Якуб Колас,1938,https://knihi.com/Jakub_Kolas/Cuvac_viasna.html,"Не сышлі яшчэ з нізіны


Роспісы зімы,


Скуты холадам даліны,


Луг ляжыць нямы.


 


Але зрок нябёс яснее,


Больш і больш святла,


Жыватворчая надзея


Землю абняла.


 


Белы пух атрэслі з шапак


Хвойнікі, ляскі,


А іх зацішкі, як запек,


Туляць дол, пяскі.


 


Лашчыць сонца твар узгоркаў,


Сушыць след іх слёз,


Што струменяцца разоркай


Да знямелых лоз.


 


Па-над лесам ходзіць шолам —


Хмельны зоў вясны,


І разліты навакола


Жыцця мары-сны.


 


Весялей у вочы свету


Зораць стрэхі хат.


Эй, калгаснік, помні лета,


Варушыся, брат!


У надземʼі, як жалейка,


Сонцу ў лад і ў тон


Сыпле птушка-чарадзейка


Першых песень звон."
Пахмелле,Якуб Колас,1911,https://knihi.com/Jakub_Kolas/Pachmielle.html,"– Годзе, жонка! Ну, не лайся:


Больш гарэлкі ані ў зуб!


Калі выпʼю,— ну, хоць кроплю,—


Бі мяне, цягай за чуб!


Сам, нябож, я добра знаю,


Што з гарэлкі свет гарыць...


Тфу, паскудства! Тфу, брыдота!


Хоць зарэж,— не буду піць!


 


Так прад жонкай спавядаўся


После выпіўкі Тарас:


— Ну, на гэты раз павер мне —


Каб я жыў — апошні раз!


 


— Ой, не раз я гэта чую!


Заракалася свіння


За вугол хадзіць, Тарасе,—


І табе не веру я!


 


— Ты не верыш? Эх, Марылька!


Хочаш? Я іду ў заклад?


Залажэмся на цікавасць:


Ты прайграеш, як Бог свят!..


 


Тфу! пад грудзі падпірае!


Кішкі зблытаны ў камяк,


Ну, а ў роце, каб ты знала —


Фэ, які нядобры смак!


 


Галава ж, як малатарня,


Або хто завёў там млын.


А ўсё Грышка, недавярак,


Каб ён спух, сабачы сын!


 


Як прусак, што зʼеў бураксы,


Ходзіць, плёвае, бядак,


І да жонкі падыходзіць:


— Ссе вантробы мне чарвяк.


 


Слухай, золатка-галубка, —


Стаў пакорненькі Тарас,


— Прынясі апахмяліцца —


Каб я жыў — астатні раз!"
Старыя песні,Якуб Колас,1914,https://knihi.com/Jakub_Kolas/Staryja_piesni.html,"Скарга нязменная, гора нязбытае...


Голь змардаваная, голь неакрытая,


Бедная, цёмная голь!


Чуецца ўсюды тваё нараканне,


Нездаваленне, жальба і стагнанне —


Душу ахватвае боль.


 


Стогне з табою і даль сіратлівая,


Ціш гэта немая, доля маўклівая,


Гоні, разлогі палёў...


 


Чым жа пацешыць вас, людзі пакутныя?


Як разагнаці вам думкі ўсе смутныя?


Гора ж не сціхне ад слоў!"
Роднаму краю,Якуб Колас,1943,https://knihi.com/Jakub_Kolas/Rodnamu_kraju_jasnazorki.html,"Мой край ясназоры! Прайшоў ты нямала


Шырокіх і вузкіх дарог.


І смутак, і гора цябе абнімала,


Ды ты іх пазбыў, перамог.


 


  Ішлі мы ў прасторы шырокай пуцінай,


Як сейбіты згоды, дабра;


 


Свяцілася неба над полем, далінай,


У іскрах світання — зара.


 


Купаліся далі ў ласкавай сінечы,


                Нас вабілі новыя дні.


Зямля разгарнула магутныя плечы,


Прасторы, куды ні зірні.


 


Гайдаліся пожні, як хвалі на ветры,


Сады маладыя цвілі,


І сталі балотныя дзікія нетры


Дзівотамі новай зямлі.


 


І новыя песні ў народзе звінелі,


Як голас юначкі-вясны,


І засевы шчасця вакол зарунелі —


                Збываліся мары і сны.


 


Ды хлынула плойма грабежнікаў дзікіх,


Разбурыла, край мой, цябе,


І вецер сягоння пад стогны і крыкі


Сумуе з табою ў журбе.


 


Мой край ясных даляў! У дзень навагодні


Прымі з пажаданнем прывет,


Каб сонца і зоры з глыбіняў усходніх


Свяцілі святлом добрых лет;


 


Каб трупамі леглі ўсе псы-душагубы,


                Фашысцкі звярыны бярлог;


Каб подлыя каты, як іхнія кубэ,


У дом свой не мелі дарог.


 


Мой край яснавокі і вы, людзі-брацці!


Распалім жа помсты пажар,


Фашысцкую погань, народаў пракляцце,


Зніштожым, як гадаў-пачвар."
Найдаражэйшы падарунак,Якуб Колас,1953,https://knihi.com/Jakub_Kolas/Najdarazejsy_padarunak.html,"Мне ўнукі дзеда Талаша


Прыслалі падарунак...


О Беларусь! ты – сэрца і душа,


Нутра зямлі багаты клунак.


Ці думаў хто калі, ці сніў,


Што край наш так багаты!


І золата мы возьмем з ніў,


І нафта родная сагрэе хаты!"
Надрывайся і шумі...,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Nadryvajsia_i_sumi.html,"Надрывайся і шумі,


Вецер злосны, ў полі!


Як сярдзіта ты ні дзьмі,


Ні гуляй на волі;


 


Як дарог ні замятай


І глухіх трапінак;


Як ты злосна ні спявай


Мужыку ў камінак,—


 


Ўсё ж ты сціхнеш, і цяплом


Скора ты павееш,


І з ракітавым кустом


Міла задурэеш."
Кветка,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Kvietka.html,"За агарожаю перад астрогам


Ў ціхім куточку адна


Кветка красуе на грунце убогім,


Хораша ззяе яна.


Двор непрытульны і глеба пясчана,


Грунт весь убіты, як ток.


Сонца не свеціць скрозь шчэлін паркана,


Выдзьмухаў вецер весь сок...


Белая крошка роскаю Божай


Чыста абмыта, зяхціць.


Рад любавацца я кветкай прыгожай,—


Міла яна так глядзіць.


Мне ўспамінаюцца вобразы мілыя


Роднага краю, палёў,


Бедныя вёскі, хаты пахілыя,


Песні зялёных гаёў;


Вузкія стужкі меж зеляненькіх,


Жыта палоска, лянок...


Рэчы пявучыя нівы благенькай,


Ўзгорак, курганчык, лясок.


Толькі ж мне шкода кветкі: сіроткай


Ціха схілілась яна


За агарожаю, як за рашоткай,


Сонцу, людзям не відна...


Мілая кветка, дзіцятка поля,


Межы зялёнай убор!


Як ты папалася з волі ў няволю?


Як заняслася на двор?"
Вясна,Якуб Колас,1907,https://knihi.com/Jakub_Kolas/Viasna_pryjdzie.html,"Вясна прыйдзе, снег пагіне,


Вышэй сонца хадзіць стане,


Промень ясны ўсюды кіне,


Рунь падыме на паляне.


 


З гор пальюцца перавалы,


Раскуюцца рэчкі з шумам,


Выйдзе з хаты стар і малы


Гаманліва дружным тлумам.


 


Убярэцца лес бязлісты


У гарнітур свой зялёны,


Шугне вырай галасісты,


Камары забʼюць у звоны.


 


Зашуміць трава густая,


Кветкі ў лузе засмяюцца.


Вясна прыйдзе маладая,


Ўсюды песні панясуцца."
Скора ў полі забушуе...,Якуб Колас,1909,https://knihi.com/Jakub_Kolas/Skora_u_poli_zabusuje.html,"Скора ў полі забушуе,


Песню сівер запяе,


Ўсе дарожкі зараўнуе,


Гурбы снегу нанясе.


 


Ўсё змяшаецца ў тумане,


Ў белым попеле снягоў.


Сумна вецер плакаць стане


Над будынкам мужыкоў.


 


Я ж люблю той свіст у полі,


Як вакол усё дрыжыць —


На спатканне песням волі


Дух мой рвецца і ляціць."
На дарозе,Якуб Колас,1912,https://knihi.com/Jakub_Kolas/Na_darozie.html,"Не крычы, пан: «Прэч з дарогі!»


Што з таго, што я мужык?


А ўжо гнуцца, як убогі,


І я, бачыш ты, адвык.


 


Не адзін ты гонар маеш,


І ў мяне ён трохі ёсць;


Дык дарма ты, пан, гукаеш —


Я табе больш не «псякосць».


 


Мы калісь былі не тыя,


Панавалі тады вы,


А цяпер гадкі другія —


Спаў ланцуг той векавы,


 


На якім вы нас трымалі.


Ведай гэта і не злуй:


Мы вас доўга «шанавалі»,


Цяпер ты нас пашануй."
