title,author,year,url,text_length
Дарога...,Якуб Колас,1916,https://knihi.com/Jakub_Kolas/Daroha_ad_kurhana.html,391
Чуваць вясна,Якуб Колас,1938,https://knihi.com/Jakub_Kolas/Cuvac_viasna.html,657
Пахмелле,Якуб Колас,1911,https://knihi.com/Jakub_Kolas/Pachmielle.html,1017
Старыя песні,Якуб Колас,1914,https://knihi.com/Jakub_Kolas/Staryja_piesni.html,391
Роднаму краю,Якуб Колас,1943,https://knihi.com/Jakub_Kolas/Rodnamu_kraju_jasnazorki.html,1232
Найдаражэйшы падарунак,Якуб Колас,1953,https://knihi.com/Jakub_Kolas/Najdarazejsy_padarunak.html,224
Надрывайся і шумі...,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Nadryvajsia_i_sumi.html,274
Кветка,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Kvietka.html,809
Вясна,Якуб Колас,1907,https://knihi.com/Jakub_Kolas/Viasna_pryjdzie.html,433
Скора ў полі забушуе...,Якуб Колас,1909,https://knihi.com/Jakub_Kolas/Skora_u_poli_zabusuje.html,308
На дарозе,Якуб Колас,1912,https://knihi.com/Jakub_Kolas/Na_darozie.html,429
Савецкія дні,Якуб Колас,1952,https://knihi.com/Jakub_Kolas/Savieckija_dni.html,596
Шалёнага пса — на ланцуг!,Якуб Колас,1941,https://knihi.com/Jakub_Kolas/Salonaha_psa_-_na_lancuh.html,530
Да выбараў па Сталінскай Канстытуцыі,Якуб Колас,1937,https://knihi.com/Jakub_Kolas/Da_vybarau_pa_Stalinskaj_Kanstytucyi.html,448
"Люд стогне, гаруе пад цяжарам меча...",Якуб Колас,1917,"https://knihi.com/Jakub_Kolas/Lud_stohnie,_haruje_pad_ciazaram_mieca.html",544
Жніво,Якуб Колас,1908,https://knihi.com/Jakub_Kolas/Znivo.html,847
Петрусю Броўку,Якуб Колас,1951,https://knihi.com/Jakub_Kolas/Pietrusiu_Brouku_pamianu.html,599
Птушкі ў лесе шчабяталі...,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Ptuski_u_lesie_scabiatali.html,417
Бацьку Мінаю,Якуб Колас,1942,https://knihi.com/Jakub_Kolas/Backu_Minaju.html,1070
На развітанні,Якуб Колас,1915,https://knihi.com/Jakub_Kolas/Na_razvitanni.html,765
Не бядуй!,Якуб Колас,1907,https://knihi.com/Jakub_Kolas/Nie_biaduj.html,663
Сіла агітацыі,Якуб Колас,1928,https://knihi.com/Jakub_Kolas/Sila_ahitacyi.html,2102
На восеньскі лад,Якуб Колас,1943,https://knihi.com/Jakub_Kolas/Na_vosienski_lad.html,711
А. Луцкевічу,Якуб Колас,1927,https://knihi.com/Jakub_Kolas/A_Luckievicu.html,1286
Вячэрнія хмаркі,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/Viacernija_chmarki.html,601
Мужык і клёпкі,Якуб Колас,1907,https://knihi.com/Jakub_Kolas/Muzyk_i_klopki.html,1402
Рана вам журыцца...,Якуб Колас,1909,https://knihi.com/Jakub_Kolas/Rana_vam_zurycca.html,653
Заход сонца,Якуб Колас,1911,https://knihi.com/Jakub_Kolas/Zachod_sonca.html,679
Невядомы хлопчык,Якуб Колас,1942,https://knihi.com/Jakub_Kolas/Nieviadomy_chlopcyk.html,1139
Закліканне вясны,Якуб Колас,1912,https://knihi.com/Jakub_Kolas/Zaklikannie_viasny.html,735
Салар,Якуб Колас,1943,https://knihi.com/Jakub_Kolas/Salar.html,1248
Зварот,Якуб Колас,1945,https://knihi.com/Jakub_Kolas/Zvarot.html,1062
Пасля навальніцы,Якуб Колас,1921,https://knihi.com/Jakub_Kolas/Pasla_navalnicy.html,441
Вялікаму Сталіну,Якуб Колас,1937,https://knihi.com/Jakub_Kolas/Vialikamu_Stalinu_slavim.html,662
Вылез з дзебраў звер лютушчы...,Якуб Колас,1942,https://knihi.com/Jakub_Kolas/Vylez_z_dziebrau_zvier_lutuscy.html,373
Дзе вы?,Якуб Колас,1909,https://knihi.com/Jakub_Kolas/Dzie_vy.html,779
Нягода,Якуб Колас,1908,https://knihi.com/Jakub_Kolas/Niahoda.html,580
Сяргею Гар...(адзецкаму),Якуб Колас,1941,https://knihi.com/Jakub_Kolas/Siarhieju_Har_adzieckamu_stoz.html,316
Жыве Руставелі,Якуб Колас,1937,https://knihi.com/Jakub_Kolas/Zyvie_Rustavieli.html,711
Народу-барацьбіту,Якуб Колас,1941,https://knihi.com/Jakub_Kolas/Narodu-baracbitu.html,620
На новай зямлі,Якуб Колас,1938,https://knihi.com/Jakub_Kolas/Na_novaj_ziamli.html,1387
У турме,Якуб Колас,1910,https://knihi.com/Jakub_Kolas/U_turmie.html,320
Сціхнуў шум на калідоры...,Якуб Колас,1908,https://knihi.com/Jakub_Kolas/Scichnuu_sum_na_kalidory.html,577
У новыя далі,Якуб Колас,1952,https://knihi.com/Jakub_Kolas/U_novyja_dali.html,1001
Сірата Юрка,Якуб Колас,1914,https://knihi.com/Jakub_Kolas/Sirata_Jurka.html,123
Пад сталінскім сонцам,Якуб Колас,1938,https://knihi.com/Jakub_Kolas/Pad_stalinskim_soncam.html,1136
Чую голас,Якуб Колас,1943,https://knihi.com/Jakub_Kolas/Cuju_holas.html,606
Мужычае жыццё,Якуб Колас,1907,https://knihi.com/Jakub_Kolas/Muzycaje_zyccio.html,635
Плытнікі,Якуб Колас,1907,https://knihi.com/Jakub_Kolas/Plytniki.html,1306
Нёман,Якуб Колас,1906,https://knihi.com/Jakub_Kolas/Nioman.html,1268
